Estado;Bacia;Nome Poço ANP;Nome Poço Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia) Assoc;Gás Natural (Mm³/dia) N Assoc;Gás Natural (Mm³/dia) Total;Volume Gás Royalties (m³/mês);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados|Lev|Cort;Fração de Destilados|Lev|Vol;Fração de Destilados|Méd|Corte;Fração de Destilados|Méd|Vol;Fração de Destilados|Pes|Corte;Fração de Destilados|Pes|Vol;% em Volumes Metano;% em Volumes Etano;% em Volumes Propano;% em Volumes Iso-Butano;% em Volumes Butano;% em Volumes Iso-Pentano;% em Volumes n-Pentano;% em Volumes Hexanos;% em Volumes Heptanos;% em Volumes Octanos;% em Volumes Nonanos;% em Volumes Decanos;% em Volumes Undecanos;% em Volumes Oxigênio;% em Volumes Nitrogênio;% em Volumes Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP(kJ/m³);Data de atualização
Rio Grande do Norte;Potiguar;7-CAM-800-RN;7CAM800RN;CANTO DO AMARO;3R Potiguar;4.80E+14;2023/07;50929;0;50929;0.0008;0;0.0008;0.023;1579759;Estação Coletora Canto do Amaro E;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23.2;< 290ºC;0.206;290ºC a 380ºC;0.142;> 380ºC;0.652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/09/2023 02:36
Sergipe;Sergipe;7-CP-1180D-SE;7CP  1180D SE;CARMÓPOLIS;Carmo;4.80E+14;2023/07;27066;0;27066;0.0001;0;0.0001;0.004;674667;Estação Coletora de Santo Antônio;INSTALACAO EMB/DESEMB;743;2021/02;Sergipano Terra;24.5;< 290ºC;0.2694;290ºC a 380ºC;0.1436;> 380ºC;0.587;678554;80641;6486;19701;25057;12874;0.6826;0.2161;0;0;0;0;0;0;14188;95138;207556;53710734;356803215;04/09/2023 02:36
Rio Grande do Norte;Potiguar;7-CAM-801-RN;7CAM801RN;CANTO DO AMARO;3R Potiguar;4.80E+14;2023/07;0;0;0;0;0;0;0;0;Estação Coletora Canto do Amaro E;INSTALACAO EMB/DESEMB;0;2020/11;RGN Mistura;23.2;< 290ºC;0.206;290ºC a 380ºC;0.142;> 380ºC;0.652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/09/2023 02:36
Rio Grande do Norte;Potiguar;7-UPN-37-RN;7UPN 0037  RN;UPANEMA;Potiguar E&P S.A.;4.80E+14;2023/07;0.1826;0;0.1826;78867;0;78867;243956;47099;Estação Coletora de Upanema;INSTALACAO EMB/DESEMB;744;;;;;;;;;;893519;36438;21064;0.5252;0.657;0.2373;0.2243;0.2086;0.1143;0.0264;0.0008;0;0;0.0059;26684;0.2297;204749;53372615;376668475;04/09/2023 02:36
Rio Grande do Norte;Potiguar;7-CAM-802-RN;7CAM802RN;CANTO DO AMARO;3R Potiguar;4.80E+14;2023/07;82841;0;82841;0.0013;0;0.0013;0.04;3357586;Estação Coletora Canto do Amaro C;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23.2;< 290ºC;0.206;290ºC a 380ºC;0.142;> 380ºC;0.652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/09/2023 02:36
Sergipe;Sergipe;7-CP-1179D-SE;7CP  1179D SE;CARMÓPOLIS;Carmo;4.80E+14;2023/07;0.2914;0;0.2914;0;0;0;0;138364;Estação Coletora de Jericó;INSTALACAO EMB/DESEMB;48;2021/02;Sergipano Terra;24.5;< 290ºC;0.2694;290ºC a 380ºC;0.1436;> 380ºC;0.587;678554;80641;6486;19701;25057;12874;0.6826;0.2161;0;0;0;0;0;0;14188;95138;207556;53710734;356803215;04/09/2023 02:36
Rio Grande do Norte;Potiguar;7-CAM-805D-RN;7CAM805DRN;CANTO DO AMARO;3R Potiguar;4.80E+14;2023/07;15534;0;15534;0.0002;0;0.0002;0.006;67822;Estação Coletora Canto do Amaro E;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23.2;< 290ºC;0.206;290ºC a 380ºC;0.142;> 380ºC;0.652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/09/2023 02:36
Rio Grande do Norte;Potiguar;7-UPN-19-RN;7UPN 0019  RN;UPANEMA;Potiguar E&P S.A.;4.80E+14;2023/07;228596;0;228596;0.138;0;0.138;4267;535123;Estação Coletora de Upanema;INSTALACAO EMB/DESEMB;741;;;;;;;;;;893519;36438;21064;0.5252;0.657;0.2373;0.2243;0.2086;0.1143;0.0264;0.0008;0;0;0.0059;26684;0.2297;204749;53372615;376668475;04/09/2023 02:36
Rio Grande do Norte;Potiguar;7-CAM-806-RN;7CAM806RN;CANTO DO AMARO;3R Potiguar;4.80E+14;2023/07;0.4865;0;0.4865;0.0001;0;0.0001;0.001;174597;Estação Coletora Canto do Amaro E;INSTALACAO EMB/DESEMB;56;2020/11;RGN Mistura;23.2;< 290ºC;0.206;290ºC a 380ºC;0.142;> 380ºC;0.652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/09/2023 02:36
Sergipe;Sergipe;7-CP-1178-SE;7CP  1178  SE;CARMÓPOLIS;Carmo;4.80E+14;2023/07;72258;0;72258;0.0004;0;0.0004;0.011;4723891;Estação Coletora de Jericó;INSTALACAO EMB/DESEMB;744;2021/02;Sergipano Terra;24.5;< 290ºC;0.2694;290ºC a 380ºC;0.1436;> 380ºC;0.587;678554;80641;6486;19701;25057;12874;0.6826;0.2161;0;0;0;0;0;0;14188;95138;207556;53710734;356803215;04/09/2023 02:36
