Estado;Bacia;Nome Poço ANP;Nome Poço Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia) Assoc;Gás Natural (Mm³/dia) N Assoc;Gás Natural (Mm³/dia) Total;Volume Gás Royalties (m³/mês);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados|Lev|Cort;Fração de Destilados|Lev|Vol;Fração de Destilados|Méd|Corte;Fração de Destilados|Méd|Vol;Fração de Destilados|Pes|Corte;Fração de Destilados|Pes|Vol;% em Volumes Metano;% em Volumes Etano;% em Volumes Propano;% em Volumes Iso-Butano;% em Volumes Butano;% em Volumes Iso-Pentano;% em Volumes n-Pentano;% em Volumes Hexanos;% em Volumes Heptanos;% em Volumes Octanos;% em Volumes Nonanos;% em Volumes Decanos;% em Volumes Undecanos;% em Volumes Oxigênio;% em Volumes Nitrogênio;% em Volumes Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP(kJ/m³);Data de atualização
Rio de Janeiro;Campos;7-MLL-73D-RJS;7MLL73DRJS;MARLIM LESTE;Petrobras;4.80E+14;2023/07;81309254;0;81309254;1605431;0;1605431;4086884;12042359;PETROBRAS 53;UEP;741;2015/07;Marlim Leste;24.7;< 290ºC;0.3218;290ºC a 380ºC;0.142;> 380ºC;0.5362;68.71;11.32;9.4;1.61;3.51;0.86;1.1;0.78;0.45;0.14;0.02;0.01;0;0.01;0.98;1.1;204333;53322916;407779013;04/09/2023 02:36
Rio de Janeiro;Campos;7-MLL-77D-RJS;7MLL77DRJS;MARLIM LESTE;Petrobras;4.80E+14;2023/07;31185446;0;31185446;567595;0;567595;1444905;1241227;FPSO CIDADE DE NITEROI;UEP;717;2015/07;Marlim Leste;24.7;< 290ºC;0.3218;290ºC a 380ºC;0.142;> 380ºC;0.5362;68.71;11.32;9.4;1.61;3.51;0.86;1.1;0.78;0.45;0.14;0.02;0.01;0;0.01;0.98;1.1;204333;53322916;407779013;04/09/2023 02:36
Rio de Janeiro;Santos;9-BRSA-1254-RJS;9RJS733;SÉPIA LESTE;Petrobras;4.86E+16;2023/07;60227879;0;60227879;175071;0;175071;518474;0.7862;FPSO Carioca (MV-30);UEP;447;2023/02;SEPIA;27.4;< 270ºC;0.3078;270ºC a 458ºC;0.2582;> 458ºC;0.434;56.4;9.03;6222;0.836;1601;0.281;0.341;0.259;0.016;0.003;0;0;0;0.079;1683;23249;200036;5280935;301982427;04/09/2023 02:36
Rio de Janeiro;Santos;3-BRSA-1201-RJS;3RJS721;SÉPIA LESTE;Petrobras;4.86E+16;2023/07;5587866;0;5587866;162723;0;162723;481905;10967;FPSO Carioca (MV-30);UEP;449;2023/02;SEPIA;27.4;< 270ºC;0.3078;270ºC a 458ºC;0.2582;> 458ºC;0.434;56.4;9.03;6222;0.836;1601;0.281;0.341;0.259;0.016;0.003;0;0;0;0.079;1683;23249;200036;5280935;301982427;04/09/2023 02:36
Rio de Janeiro;Santos;1-BRSA-976-RJS;1RJS691;SÉPIA LESTE;Petrobras;4.86E+16;2023/07;42423685;0;42423685;2151335;0;2151335;637119;12492;FPSO Carioca (MV-30);UEP;449;2023/02;SEPIA;27.4;< 270ºC;0.3078;270ºC a 458ºC;0.2582;> 458ºC;0.434;56.4;9.03;6222;0.836;1601;0.281;0.341;0.259;0.016;0.003;0;0;0;0.079;1683;23249;200036;5280935;301982427;04/09/2023 02:36
Rio de Janeiro;Santos;7-SEP-6-RJS;7SEP6RJS;SÉPIA LESTE;Petrobras;4.86E+16;2023/07;40749398;0;40749398;1186027;0;1186027;351243;0.7996;FPSO Carioca (MV-30);UEP;449;2023/02;SEPIA;27.4;< 270ºC;0.3078;270ºC a 458ºC;0.2582;> 458ºC;0.434;56.4;9.03;6222;0.836;1601;0.281;0.341;0.259;0.016;0.003;0;0;0;0.079;1683;23249;200036;5280935;301982427;04/09/2023 02:36
Espírito Santo;Campos;6-BRSA-639-ESS;6BFR1ESS;JUBARTE;Petrobras;4.80E+14;2023/07;48372246;0;48372246;1672814;0;1672814;5181095;42580431;PETROBRAS 58;UEP;720;2022/12;Parque das Baleias;24;< 290ºC;0.2822;290ºC a 380ºC;0.1474;> 380ºC;0.5704;81017;8.63;5034;0.961;1799;0.454;0.559;0.303;0.155;0.1;0.055;0.026;0;0.006;0.715;0.186;204402;53331601;400914179;04/09/2023 02:36
Espírito Santo;Campos;7-BAZ-4-ESS;7BAZ4ESS;JUBARTE;Petrobras;4.80E+14;2023/07;20701211;0;20701211;667575;0;667575;2067635;61847535;FPSO CIDADE DE ANCHIETA;UEP;720;2022/12;Parque das Baleias;24;< 290ºC;0.2822;290ºC a 380ºC;0.1474;> 380ºC;0.5704;81017;8.63;5034;0.961;1799;0.454;0.559;0.303;0.155;0.1;0.055;0.026;0;0.006;0.715;0.186;204402;53331601;400914179;04/09/2023 02:36
Espírito Santo;Campos;8-JUB-39-ESS;8JUB39ESS;JUBARTE;Petrobras;4.80E+14;2023/07;34026839;0;34026839;1132567;0;1132567;3507826;21762968;PETROBRAS 58;UEP;698;2022/12;Parque das Baleias;24;< 290ºC;0.2822;290ºC a 380ºC;0.1474;> 380ºC;0.5704;81017;8.63;5034;0.961;1799;0.454;0.559;0.303;0.155;0.1;0.055;0.026;0;0.006;0.715;0.186;204402;53331601;400914179;04/09/2023 02:36
Espírito Santo;Campos;7-BFR-7-ESS;7BFR7ESS;JUBARTE;Petrobras;4.80E+14;2023/07;50471582;0;50471582;2115885;0;2115885;6553393;30837754;PETROBRAS 58;UEP;737;2022/12;Parque das Baleias;24;< 290ºC;0.2822;290ºC a 380ºC;0.1474;> 380ºC;0.5704;81017;8.63;5034;0.961;1799;0.454;0.559;0.303;0.155;0.1;0.055;0.026;0;0.006;0.715;0.186;204402;53331601;400914179;04/09/2023 02:36
